keyword,zero_pct,mean_interest
home care,0.0,92.87
oil,0.0,92.85
medical supplies,0.0,92.3
diagnostics,0.0,92.0
steel,0.0,91.83
insurance,0.0,91.02
real estate investment,0.0,90.32
heavy equipment,0.0,89.89
podcast,0.0,89.64
credit cards,0.0,89.6
health care,0.0,89.45
real estate,0.0,89.32
google search,0.0,88.91
disney+,0.0,88.87
youtube,0.0,88.72
credit card,0.0,88.51
solar power,0.0,88.49
medical office,0.0,88.49
financial services,0.0,88.47
silver,0.0,88.43
wireless plans,0.0,88.32
home equity,0.0,87.49
automation,0.0,87.11
life insurance,0.0,86.81
zillow,0.0,86.79
engineering,0.0,86.75
professional services,0.0,86.62
auto parts,0.0,86.57
machine learning,0.0,86.49
water bill,0.0,86.42
battery storage,0.0,86.4
clay,0.0,86.25
wells fargo,0.0,86.13
donation,0.0,86.09
office real estate,0.0,86.0
commercial services,0.0,86.0
data usage,0.0,85.7
social security office,0.0,85.68
residential real estate,0.0,85.6
construction,0.0,85.6
software,0.0,85.57
pharmaceutical,0.0,85.49
food staples,0.0,85.36
water utilities,0.0,85.28
medical devices,0.0,85.23
discount stores,0.0,85.17
transmission lines,0.0,85.17
home builder,0.0,85.0
building products,0.0,84.91
clinical trials,0.0,84.83
home builders,0.0,84.81
data center,0.0,84.66
commercial property,0.0,84.62
food security,0.0,84.08
unemployment,0.0,84.0
pet food,0.0,83.96
asset management,0.0,83.94
central bank,0.0,83.83
internet service,0.0,83.81
electric utility,0.0,83.72
exchange rate,0.0,83.64
gas price,0.0,83.62
cleaning products,0.0,83.38
wireless plan,0.0,83.23
5g network,0.0,83.21
circuit breaker,0.0,83.21
platinum price,0.0,83.13
building materials,0.0,83.08
pay tv,0.0,83.04
public utilities,0.0,82.94
life sciences,0.0,82.83
wireless spectrum,0.0,82.81
food distributors,0.0,82.74
cancer treatment,0.0,82.62
online video,0.0,82.49
transportation,0.0,82.43
bank of america,0.0,82.42
disney plus,0.0,82.38
noi,0.0,82.34
connected tv,0.0,82.32
software engineering,0.0,82.23
travel services,0.0,82.09
information technology,0.0,82.04
social media,0.0,81.92
supply chain,0.0,81.79
fraud detection,0.0,81.77
air cargo,0.0,81.77
api,0.0,81.74
cap rate,0.0,81.68
brick and mortar,0.0,81.58
recycling,0.0,81.4
home prices,0.0,81.36
cloud migration,0.0,81.32
public works,0.0,81.28
it consulting,0.0,81.08
online banking,0.0,81.02
student housing,0.0,81.02
airlines,0.0,80.92
aluminum price,0.0,80.91
influencer marketing,0.0,80.91
water treatment,0.0,80.89
ev charging,0.0,80.79
netflix,0.0,80.77
gold mining,0.0,80.6
cancer research,0.0,80.6
zinc,0.0,80.51
steel prices,0.0,80.15
system software,0.0,80.13
medical diagnostics,0.0,80.0
copper price,0.0,80.0
inversion,0.0,79.85
solar panels,0.0,79.77
hotels,0.0,79.66
capital markets,0.0,79.55
stock exchange,0.0,79.47
procter gamble,0.0,79.43
iron ore,0.0,79.26
self storage,0.0,79.23
restaurants,0.0,79.17
store brands,0.0,78.89
engineering services,0.0,78.87
it services,0.0,78.83
property management,0.0,78.42
broadband,0.0,78.4
depression,0.0,78.25
cyber security,0.0,78.23
weight loss,0.0,78.17
home improvement,0.0,78.15
benefits,0.0,78.08
retail pharmacy,0.0,77.91
data processing,0.0,77.89
inflation,0.0,77.74
paper,0.0,77.68
mobile data,0.0,77.58
paper packaging,0.0,77.53
data privacy,0.0,77.36
soft drinks,0.0,77.06
electric rates,0.0,76.89
household products,0.0,76.87
heavy machinery,0.0,76.64
home depot,0.0,76.62
digital transformation,0.0,76.6
inflation rate,0.0,76.53
luxury watches,0.0,76.51
interest rates housing,0.0,76.11
food manufacturers,0.0,76.02
engineering firms,0.0,76.02
gold,0.0,76.0
gas station,0.0,76.0
dividend stocks,0.0,75.91
food retail,0.0,75.91
snack foods,0.0,75.87
mental health,0.0,75.79
gas utilities,0.0,75.74
systems software,0.0,75.4
auto sales,0.0,75.3
streaming service,0.0,75.23
financial planning,0.0,74.98
land development,0.0,74.96
wind farm,0.0,74.77
credit score,0.0,74.58
fiber optic,0.0,74.38
carbon steel,0.0,74.32
electrical equipment,0.0,74.25
glass,0.0,73.96
nasdaq,0.0,73.89
health it,0.0,73.85
online shopping,0.0,73.75
health insurance,0.0,73.49
hotels resorts,0.0,73.45
water stress,0.0,73.42
sell stocks,0.0,73.25
exxon mobil,0.0,73.21
military budget,0.0,72.79
energy security,0.0,72.77
organic growth,0.0,72.26
movies,0.0,72.21
sand,0.0,72.13
palladium price,0.0,72.02
rate base,0.0,72.0
rate case,0.0,71.92
plastic resin,0.0,71.58
cable tv,0.0,71.55
energy supply,0.0,71.3
profit margins,0.0,71.28
ai power,0.0,71.21
property tax,0.0,71.0
heat pump,0.0,70.98
mortgage rates,0.0,70.96
property development,0.0,70.68
price index,0.0,70.3
hardware,0.0,70.26
real estate stocks,0.0,70.13
duke energy,0.0,69.83
cement,0.0,69.83
paper products,0.0,69.77
exxon,0.0,69.68
electricity bill,0.0,69.57
silver mining,0.0,69.51
autonomous vehicles,0.0,69.45
medicare,0.0,69.19
paramount plus,0.0,69.02
stock prices,0.0,68.83
energy drinks,0.0,68.7
public utility,0.0,68.58
gpu,0.0,68.51
big tech,0.0,68.43
ai search,0.0,67.83
balance sheet,0.0,67.7
oil price,0.0,67.68
dividend kings,0.0,67.66
bank capital,0.0,67.42
fiber internet,0.0,67.32
lockheed martin,0.0,67.25
dividends,0.0,67.15
consumer brands,0.0,66.89
cruise lines,0.0,66.79
digital advertising,0.0,66.77
open source,0.0,66.42
subscription services,0.0,66.38
economic security,0.0,66.34
blockchain technology,0.0,66.19
dow jones,0.0,66.02
gdp,0.0,65.94
chevron,0.0,65.89
construction equipment,0.0,65.83
natural gas,0.0,65.6
nuclear power,0.0,65.49
computing,0.0,65.45
copper mining,0.0,65.42
home healthcare,0.0,65.25
interest income,0.0,65.15
energy stocks,0.0,65.0
solar energy,0.0,64.4
bankruptcy,0.0,64.32
independent power,0.0,64.3
gene therapy,0.0,64.21
footwear,0.0,64.15
interest rates,0.0,64.13
capital gains,0.0,64.09
industrial materials,0.0,64.04
fast food,0.0,63.87
net lease,0.0,63.58
safe haven,0.0,63.25
rental income,0.0,63.09
rare earth,0.0,62.58
lumber prices,0.0,62.53
the depression,0.0,62.53
boeing stock,0.0,62.13
medical ai,0.0,62.02
trucking,0.0,61.49
shipping rates,0.0,61.34
materials,0.0,61.32
economy,0.0,61.19
essential goods,0.0,60.98
trade war,0.0,60.83
phillips 66,0.0,60.77
power demand,0.0,60.66
circular economy,0.0,60.45
basic materials,0.0,60.02
net operating income,0.0,59.92
tesla stock,0.0,59.83
amazon stock,0.0,59.68
nuclear energy,0.0,59.51
oil prices,0.0,59.21
silver price,0.0,59.06
experience economy,0.019,58.89
stock volatility,0.0,58.81
stock market,0.0,58.81
energy density,0.0,58.77
hedge funds,0.0,58.45
lumber price,0.0,58.43
wti oil,0.0,58.32
distribution network,0.0,58.09
credit card debt,0.0,57.98
gas prices,0.0,57.6
gas utility,0.0,57.58
artificial intelligence,0.0,57.53
walmart stock,0.0,57.13
disposable income,0.0,57.08
prescription drugs,0.0,56.77
prime rate,0.0,56.51
charity,0.0,56.38
energy crisis,0.0,56.23
housing market,0.0,56.21
property valuation,0.0,55.96
home depot stock,0.0,55.91
zyn pouches,0.0,55.74
live sports,0.0,55.62
energy transition,0.0,55.57
intel stock,0.0,55.21
subscription box,0.0,55.15
carbon fiber,0.0,55.15
sports betting,0.0,54.98
air traffic,0.0,54.96
market bottom,0.0,54.96
property dividend,0.0,54.85
insurance quotes,0.0,54.83
used car prices,0.0,54.7
medicaid,0.0,54.62
property insurance,0.0,54.51
plant based,0.0,54.4
google stock,0.0,54.21
stock returns,0.0,54.17
general mills,0.0,54.02
youtube ads,0.0,53.94
capital goods,0.0,53.74
bond yield,0.0,53.72
great depression,0.0,53.72
consumer demand,0.0,53.51
infrastructure bill,0.0,53.43
oil spill,0.0,53.02
fertilizer,0.0,52.87
berkshire hathaway,0.0,52.51
power companies,0.0,52.45
commercial real estate,0.0,52.04
