keyword,zero_pct,mean_interest
broken,0.0,92.74
bad,0.0,92.23
rewards,0.0,89.58
error,0.0,89.57
great,0.0,89.09
cut,0.0,88.15
problems,0.0,86.62
loss,0.0,86.11
questions,0.0,85.75
strong,0.0,84.91
hidden,0.0,84.51
good,0.0,83.51
crime,0.0,83.45
best,0.0,83.38
late,0.0,83.3
hurt,0.0,83.19
problem,0.0,82.64
force,0.0,82.57
popular,0.0,82.23
against,0.0,81.83
lose,0.0,81.81
could,0.0,81.64
highest,0.0,81.3
beautiful,0.0,81.28
easy,0.0,81.15
breaking,0.0,80.26
dream,0.0,79.96
slow,0.0,79.77
wrong,0.0,78.79
possible,0.0,78.3
friendly,0.0,77.72
bridge,0.0,77.06
negative,0.0,76.0
strength,0.0,73.92
criminal,0.0,73.7
fear,0.0,73.64
fallout,0.0,73.49
question,0.0,72.98
stress,0.0,72.23
urgent,0.0,71.79
worst,0.0,71.47
risk,0.0,71.11
dangerous,0.0,71.04
closed,0.0,70.21
perfect,0.0,70.15
able,0.0,69.34
random,0.0,68.49
advantage,0.0,67.85
break,0.0,67.75
closing,0.0,66.43
win,0.0,65.81
might,0.0,65.6
creative,0.0,65.38
positive,0.0,64.64
believe,0.0,64.45
invented,0.0,64.0
lost,0.0,63.02
drag,0.0,62.43
premier,0.0,61.98
benefit,0.0,61.96
accident,0.0,60.38
alliance,0.0,59.57
happy,0.0,58.85
variable,0.0,57.53
prediction,0.0,56.94
challenge,0.0,55.92
losing,0.0,54.87
honor,0.0,53.51
leadership,0.0,52.62
claims,0.0,52.13
rumors,0.0,51.94
recall,0.0,51.81
winner,0.0,49.72
winning,0.0,49.42
trouble,0.0,49.06
unemployment,0.0,47.57
critical,0.0,45.83
divorce,0.0,45.02
outage,0.0,44.17
sue,0.0,43.57
crisis,0.0,43.45
boom,0.0,43.08
poor,0.0,42.55
failed,0.0,42.55
worse,0.0,42.28
success,0.0,42.26
suspension,0.0,41.77
default,0.0,41.17
warning,0.0,40.79
miss,0.0,40.64
cancelled,0.0,40.4
arrest,0.0,40.21
fired,0.0,39.43
weakness,0.0,39.08
favorite,0.0,37.57
arrested,0.0,37.55
fraud,0.0,37.28
lie,0.0,37.04
strongest,0.0,36.91
ideal,0.0,36.83
quit,0.0,36.42
breaks,0.0,35.57
enable,0.0,35.42
predictions,0.0,35.04
weak,0.0,34.94
illegal,0.0,34.91
appear,0.0,34.81
ill,0.0,34.43
boost,0.0,34.23
premiere,0.0,33.26
severe,0.0,33.08
violence,0.0,32.57
stopped,0.0,32.28
almost,0.0,31.58
fail,0.0,31.32
conflict,0.0,31.28
stolen,0.0,31.02
fault,0.0,30.34
exposure,0.0,30.25
leading,0.0,30.15
improve,0.0,30.15
stable,0.0,30.0
sometimes,0.0,29.74
deficiency,0.0,29.72
danger,0.0,28.83
idle,0.0,28.72
delay,0.0,28.23
opportunities,0.0,28.04
lack,0.0,28.0
stronger,0.0,27.85
dependent,0.0,27.83
forced,0.0,27.7
collision,0.0,27.62
panic,0.0,27.58
controversy,0.0,27.26
serious,0.0,26.92
randomly,0.0,26.79
successful,0.0,26.62
prevention,0.0,26.3
injury,0.0,26.21
may,0.0,26.19
improvement,0.0,25.89
monopoly,0.0,25.17
unknown,0.0,24.98
failure,0.0,24.85
opportunity,0.0,24.74
excessive,0.0,24.34
disaster,0.0,24.19
upset,0.0,24.15
layoffs,0.0,24.02
suddenly,0.0,23.77
missed,0.0,23.75
strain,0.0,23.75
guilty,0.0,23.42
worry,0.0,23.34
destroy,0.0,23.34
challenges,0.0,23.21
variables,0.0,22.96
winners,0.0,22.92
fantastic,0.0,22.77
bankruptcy,0.0,22.75
argument,0.0,22.6
false,0.0,22.28
crossroads,0.0,21.98
prestige,0.0,21.77
reward,0.0,21.7
cancel,0.0,21.21
burned,0.0,21.15
exclusive,0.0,21.11
discontinued,0.0,20.83
breach,0.0,20.75
intermittent,0.0,20.6
deviation,0.0,20.53
shortage,0.0,20.02
