keyword,zero_pct,mean_interest
corrections,0.0,94.28
detention,0.0,94.06
rewards,0.0,92.62
dangerous,0.0,91.96
enable,0.0,91.72
annoying,0.0,91.66
worst,0.0,91.34
accidentally,0.0,91.21
superior,0.0,91.11
bad,0.0,91.09
unable,0.0,90.83
termination,0.0,90.13
lying,0.0,89.91
cancel,0.0,89.72
annulment,0.0,89.45
great,0.0,89.17
claims,0.0,89.15
attractive,0.0,89.02
deficiency,0.0,88.94
weak,0.0,88.87
cut,0.0,88.75
abuse,0.0,88.74
strain,0.0,88.58
complaint,0.0,87.91
error,0.0,87.91
foreclosure,0.0,87.91
abandoned,0.0,87.79
disappointment,0.0,87.72
delights,0.0,87.66
problems,0.0,87.53
disclose,0.0,87.4
random,0.0,87.34
exposure,0.0,87.28
innovations,0.0,87.25
inappropriate,0.0,87.25
deny,0.0,87.06
ideal,0.0,87.02
unpaid,0.0,87.0
contractions,0.0,86.96
integrity,0.0,86.89
crossroads,0.0,86.87
deceased,0.0,86.68
unknown,0.0,86.4
voided,0.0,86.38
exploited,0.0,86.32
enjoy,0.0,86.19
highest,0.0,86.11
misdemeanor,0.0,86.02
easier,0.0,86.02
disturb,0.0,85.94
forced,0.0,85.91
depressed,0.0,85.79
exclusive,0.0,85.74
invalid,0.0,85.68
kickback,0.0,85.6
counterfeit,0.0,85.58
strong,0.0,85.55
complications,0.0,85.51
terminate,0.0,85.47
denied,0.0,85.38
randomly,0.0,85.3
alliance,0.0,85.28
impressive,0.0,85.23
eviction,0.0,85.09
appear,0.0,85.08
serious,0.0,85.06
delinquent,0.0,84.85
manipulation,0.0,84.81
doubt,0.0,84.81
stress,0.0,84.62
success,0.0,84.49
defeat,0.0,84.45
exploit,0.0,84.42
impediment,0.0,84.42
vibrant,0.0,84.28
prone,0.0,84.13
unavailable,0.0,84.09
revised,0.0,84.09
corruption,0.0,83.98
suspension,0.0,83.96
dangers,0.0,83.7
unattractive,0.0,83.68
strength,0.0,83.64
worse,0.0,83.6
litigation,0.0,83.55
enhanced,0.0,83.51
good,0.0,83.34
sacrifice,0.0,83.34
reckless,0.0,83.32
dream,0.0,83.3
questions,0.0,83.3
incarcerated,0.0,83.26
beautiful,0.0,82.85
improve,0.0,82.79
persistent,0.0,82.77
incorrect,0.0,82.74
progress,0.0,82.68
impaired,0.0,82.62
disappears,0.0,82.58
force,0.0,82.51
lose,0.0,82.47
unemployment,0.0,82.47
embezzlement,0.0,82.47
deviated,0.0,82.4
harm,0.0,82.36
crime,0.0,82.34
offender,0.0,82.26
evictions,0.0,82.26
best,0.0,82.21
smooth,0.0,82.19
damage,0.0,82.13
incident,0.0,82.11
positive,0.0,82.0
stability,0.0,81.96
could,0.0,81.81
divorce,0.0,81.77
innovative,0.0,81.74
problem,0.0,81.7
refusal,0.0,81.66
violation,0.0,81.64
illegal,0.0,81.43
omit,0.0,81.43
popular,0.0,81.3
inconsistent,0.0,81.25
exacerbation,0.0,81.23
frustrated,0.0,81.19
collaboration,0.0,81.17
incredible,0.0,81.13
prolonged,0.0,81.06
confused,0.0,80.96
lack,0.0,80.91
cumbersome,0.0,80.87
satisfaction,0.0,80.85
contingency,0.0,80.72
dispose,0.0,80.72
against,0.0,80.7
delight,0.0,80.7
opportunities,0.0,80.64
unfortunately,0.0,80.55
innovation,0.0,80.55
easy,0.0,80.55
inspiration,0.0,80.49
pleasant,0.0,80.47
unsafe,0.0,80.42
excellence,0.0,80.36
able,0.0,80.34
slower,0.0,80.3
disappointed,0.0,80.26
aberration,0.0,80.25
valuable,0.0,80.23
confiscated,0.0,80.21
benefit,0.0,80.15
disciplinary,0.0,80.11
rejection,0.0,80.09
fantastic,0.0,80.06
destruction,0.0,79.96
overcoming,0.0,79.96
succeed,0.0,79.91
malpractice,0.0,79.85
negligence,0.0,79.77
late,0.0,79.75
overage,0.0,79.68
unpopular,0.0,79.55
obsolete,0.0,79.47
favorite,0.0,79.42
breaking,0.0,79.4
difficult,0.0,79.4
mismatch,0.0,79.4
subpoena,0.0,79.28
slow,0.0,79.28
collision,0.0,79.23
overload,0.0,79.13
nuisance,0.0,79.08
mistake,0.0,79.0
assured,0.0,78.92
sue,0.0,78.92
irregular,0.0,78.87
disregard,0.0,78.85
inevitable,0.0,78.81
fraud,0.0,78.7
discrepancy,0.0,78.68
exposures,0.0,78.58
unexpected,0.0,78.53
believe,0.0,78.49
resolve,0.0,78.49
reassess,0.0,78.49
deprivation,0.0,78.45
inspirational,0.0,78.3
creative,0.0,78.28
dissolution,0.0,78.25
enhancing,0.0,78.21
obstacle,0.0,78.08
precautions,0.0,78.06
advantage,0.0,77.98
bankruptcy,0.0,77.79
imbalance,0.0,77.72
vulnerability,0.0,77.68
abruptly,0.0,77.57
default,0.0,77.57
wrong,0.0,77.57
prejudice,0.0,77.08
limitations,0.0,77.06
anomaly,0.0,77.0
friendly,0.0,77.0
efficient,0.0,76.98
absence,0.0,76.91
seems,0.0,76.91
overcharge,0.0,76.91
terminated,0.0,76.87
tense,0.0,76.83
hurt,0.0,76.74
misappropriation,0.0,76.74
misrepresentation,0.0,76.66
harmful,0.0,76.66
improving,0.0,76.64
bridge,0.0,76.6
unusual,0.0,76.42
impairment,0.0,76.4
collaborate,0.0,76.36
evasion,0.0,76.15
objection,0.0,76.09
punishment,0.0,75.94
