Model,Sector,Finance R²,MSFE Ratio,Beats
OLS,Energy,-0.1444,1.1444,False
OLS,Materials,-0.1485,1.1485,False
OLS,Industrials,-0.1253,1.1253,False
OLS,Consumer Discretionary,-0.1314,1.1314,False
OLS,Consumer Staples,-0.1621,1.1621,False
OLS,Health Care,-0.1385,1.1385,False
OLS,Financials,-0.1281,1.1281,False
OLS,Information Technology,-0.1424,1.1424,False
OLS,Communication Services,-0.119,1.119,False
OLS,Utilities,-0.1332,1.1332,False
OLS,Real Estate,-0.132,1.132,False
OLS,S&P 500,-0.1322,1.1322,False
Ridge,Energy,0.0006,0.9994,True
Ridge,Materials,-0.0101,1.0101,False
Ridge,Industrials,-0.0003,1.0003,False
Ridge,Consumer Discretionary,-0.0032,1.0032,False
Ridge,Consumer Staples,-0.0089,1.0089,False
Ridge,Health Care,-0.0081,1.0081,False
Ridge,Financials,-0.0061,1.0061,False
Ridge,Information Technology,-0.007,1.007,False
Ridge,Communication Services,-0.0077,1.0077,False
Ridge,Utilities,-0.0067,1.0067,False
Ridge,Real Estate,0.0002,0.9998,True
Ridge,S&P 500,-0.0031,1.0031,False
Lasso,Energy,0.0001,0.9999,True
Lasso,Materials,0.0,1.0,False
Lasso,Industrials,0.0,1.0,False
Lasso,Consumer Discretionary,0.0,1.0,False
Lasso,Consumer Staples,0.0,1.0,False
Lasso,Health Care,0.0,1.0,False
Lasso,Financials,0.0,1.0,False
Lasso,Information Technology,0.0,1.0,False
Lasso,Communication Services,0.0,1.0,False
Lasso,Utilities,0.0,1.0,False
Lasso,Real Estate,0.0,1.0,False
Lasso,S&P 500,0.0,1.0,False
ElasticNet,Energy,-0.003,1.003,False
ElasticNet,Materials,-0.0057,1.0057,False
ElasticNet,Industrials,-0.0072,1.0072,False
ElasticNet,Consumer Discretionary,-0.0001,1.0001,False
ElasticNet,Consumer Staples,-0.003,1.003,False
ElasticNet,Health Care,-0.0009,1.0009,False
ElasticNet,Financials,-0.0094,1.0094,False
ElasticNet,Information Technology,-0.0054,1.0054,False
ElasticNet,Communication Services,-0.0135,1.0135,False
ElasticNet,Utilities,-0.0004,1.0004,False
ElasticNet,Real Estate,0.0002,0.9998,True
ElasticNet,S&P 500,-0.0048,1.0048,False
RandomForest,Energy,-0.0784,1.0784,False
RandomForest,Materials,-0.1177,1.1177,False
RandomForest,Industrials,-0.0944,1.0944,False
RandomForest,Consumer Discretionary,-0.0852,1.0852,False
RandomForest,Consumer Staples,-0.116,1.116,False
RandomForest,Health Care,-0.1167,1.1167,False
RandomForest,Financials,-0.108,1.108,False
RandomForest,Information Technology,-0.1038,1.1038,False
RandomForest,Communication Services,-0.0489,1.0489,False
RandomForest,Utilities,-0.0954,1.0954,False
RandomForest,Real Estate,-0.0922,1.0922,False
RandomForest,S&P 500,-0.0976,1.0976,False
XGBoost,Energy,-0.566,1.566,False
XGBoost,Materials,-0.6604,1.6604,False
XGBoost,Industrials,-0.6013,1.6013,False
XGBoost,Consumer Discretionary,-0.5388,1.5388,False
XGBoost,Consumer Staples,-0.6466,1.6466,False
XGBoost,Health Care,-0.5632,1.5632,False
XGBoost,Financials,-0.6038,1.6038,False
XGBoost,Information Technology,-0.5417,1.5417,False
XGBoost,Communication Services,-0.1877,1.1877,False
XGBoost,Utilities,-0.5864,1.5864,False
XGBoost,Real Estate,-0.5832,1.5832,False
XGBoost,S&P 500,-0.6052,1.6052,False
